"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de chaussures (NAF rév. 2, niveau groupe, poste 15.2)";"Codes"
"idBank";"010767741";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"70.37";"A"
"2025-01";"62.6";"A"
"2024-12";"57.24";"A"
"2024-11";"67.25";"A"
"2024-10";"63.46";"A"
"2024-09";"60.09";"A"
"2024-08";"65.85";"A"
"2024-07";"64.05";"A"
"2024-06";"86.15";"A"
"2024-05";"68.4";"A"
"2024-04";"66.8";"A"
"2024-03";"64.61";"A"
"2024-02";"65.35";"A"
"2024-01";"69.73";"A"
"2023-12";"80.03";"A"
"2023-11";"89.93";"A"
"2023-10";"81.72";"A"
"2023-09";"87.42";"A"
"2023-08";"72.51";"A"
"2023-07";"84.37";"A"
"2023-06";"86.53";"A"
"2023-05";"114.39";"A"
"2023-04";"92.5";"A"
"2023-03";"95.65";"A"
"2023-02";"92.21";"A"
"2023-01";"95.46";"A"
"2022-12";"93.9";"A"
"2022-11";"93.58";"A"
"2022-10";"102.31";"A"
"2022-09";"101.63";"A"
"2022-08";"98.6";"A"
"2022-07";"117.59";"A"
"2022-06";"109.61";"A"
"2022-05";"112.12";"A"
"2022-04";"116.59";"A"
"2022-03";"113.7";"A"
"2022-02";"109.52";"A"
"2022-01";"119.57";"A"
"2021-12";"111.38";"A"
"2021-11";"102.09";"A"
"2021-10";"104.32";"A"
"2021-09";"105.22";"A"
"2021-08";"104.58";"A"
"2021-07";"99.91";"A"
"2021-06";"98.92";"A"
"2021-05";"97.42";"A"
"2021-04";"90.01";"A"
"2021-03";"91.09";"A"
"2021-02";"96.08";"A"
"2021-01";"98.98";"A"
"2020-12";"104.46";"A"
"2020-11";"100.03";"A"
"2020-10";"107.37";"A"
"2020-09";"103.54";"A"
"2020-08";"122.83";"A"
"2020-07";"97.3";"A"
"2020-06";"83.0";"A"
"2020-05";"91.26";"A"
"2020-04";"45.0";"A"
"2020-03";"74.33";"A"
"2020-02";"108.35";"A"
"2020-01";"112.23";"A"
"2019-12";"120.01";"A"
"2019-11";"126.86";"A"
"2019-10";"112.76";"A"
"2019-09";"119.02";"A"
"2019-08";"116.14";"A"
"2019-07";"126.63";"A"
"2019-06";"118.02";"A"
"2019-05";"118.44";"A"
"2019-04";"109.73";"A"
"2019-03";"108.51";"A"
"2019-02";"109.93";"A"
"2019-01";"116.36";"A"
"2018-12";"108.54";"A"
"2018-11";"114.38";"A"
"2018-10";"119.89";"A"
"2018-09";"130.6";"A"
"2018-08";"171.42";"A"
"2018-07";"142.77";"A"
"2018-06";"132.68";"A"
"2018-05";"125.54";"A"
"2018-04";"179.11";"A"
"2018-03";"164.98";"A"
"2018-02";"166.62";"A"
"2018-01";"147.78";"A"
"2017-12";"143.25";"A"
"2017-11";"149.99";"A"
"2017-10";"165.88";"A"
"2017-09";"164.77";"A"
"2017-08";"184.51";"A"
"2017-07";"175.4";"A"
"2017-06";"168.8";"A"
"2017-05";"163.95";"A"
"2017-04";"173.62";"A"
"2017-03";"189.39";"A"
"2017-02";"173.91";"A"
"2017-01";"169.21";"A"
"2016-12";"176.47";"A"
"2016-11";"166.17";"A"
"2016-10";"176.85";"A"
"2016-09";"170.71";"A"
"2016-08";"194.51";"A"
"2016-07";"172.55";"A"
"2016-06";"190.85";"A"
"2016-05";"194.03";"A"
"2016-04";"187.59";"A"
"2016-03";"183.38";"A"
"2016-02";"203.28";"A"
"2016-01";"193.61";"A"
"2015-12";"202.38";"A"
"2015-11";"195.94";"A"
"2015-10";"187.36";"A"
"2015-09";"213.83";"A"
"2015-08";"197.12";"A"
"2015-07";"216.83";"A"
