"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de boissons (NAF rév. 2, niveau division, poste 11)";"Codes"
"idBank";"010767669";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"97.14";"A"
"2025-01";"95.39";"A"
"2024-12";"99.37";"A"
"2024-11";"91.21";"A"
"2024-10";"89.87";"A"
"2024-09";"92.47";"A"
"2024-08";"90.39";"A"
"2024-07";"87.1";"A"
"2024-06";"92.01";"A"
"2024-05";"88.65";"A"
"2024-04";"93.77";"A"
"2024-03";"101.17";"A"
"2024-02";"100.86";"A"
"2024-01";"96.47";"A"
"2023-12";"92.57";"A"
"2023-11";"93.07";"A"
"2023-10";"93.22";"A"
"2023-09";"91.81";"A"
"2023-08";"92.41";"A"
"2023-07";"98.65";"A"
"2023-06";"97.21";"A"
"2023-05";"97.54";"A"
"2023-04";"98.87";"A"
"2023-03";"98.43";"A"
"2023-02";"99.89";"A"
"2023-01";"99.37";"A"
"2022-12";"96.42";"A"
"2022-11";"102.92";"A"
"2022-10";"103.94";"A"
"2022-09";"105.05";"A"
"2022-08";"108.39";"A"
"2022-07";"104.44";"A"
"2022-06";"106.84";"A"
"2022-05";"106.07";"A"
"2022-04";"104.58";"A"
"2022-03";"105.91";"A"
"2022-02";"103.33";"A"
"2022-01";"105.01";"A"
"2021-12";"106.29";"A"
"2021-11";"104.42";"A"
"2021-10";"103.12";"A"
"2021-09";"95.81";"A"
"2021-08";"98.22";"A"
"2021-07";"98.37";"A"
"2021-06";"107.18";"A"
"2021-05";"100.87";"A"
"2021-04";"95.47";"A"
"2021-03";"99.64";"A"
"2021-02";"93.66";"A"
"2021-01";"96.95";"A"
"2020-12";"93.6";"A"
"2020-11";"96.79";"A"
"2020-10";"96.5";"A"
"2020-09";"100.87";"A"
"2020-08";"100.8";"A"
"2020-07";"97.12";"A"
"2020-06";"91.63";"A"
"2020-05";"64.74";"A"
"2020-04";"60.64";"A"
"2020-03";"86.63";"A"
"2020-02";"99.47";"A"
"2020-01";"96.33";"A"
"2019-12";"100.1";"A"
"2019-11";"98.25";"A"
"2019-10";"95.55";"A"
"2019-09";"101.71";"A"
"2019-08";"98.25";"A"
"2019-07";"100.01";"A"
"2019-06";"99.06";"A"
"2019-05";"99.08";"A"
"2019-04";"101.79";"A"
"2019-03";"102.28";"A"
"2019-02";"102.83";"A"
"2019-01";"102.49";"A"
"2018-12";"99.87";"A"
"2018-11";"97.47";"A"
"2018-10";"102.52";"A"
"2018-09";"102.48";"A"
"2018-08";"105.45";"A"
"2018-07";"98.49";"A"
"2018-06";"102.81";"A"
"2018-05";"103.46";"A"
"2018-04";"101.16";"A"
"2018-03";"100.15";"A"
"2018-02";"101.32";"A"
"2018-01";"99.0";"A"
"2017-12";"95.94";"A"
"2017-11";"102.72";"A"
"2017-10";"100.77";"A"
"2017-09";"99.81";"A"
"2017-08";"103.54";"A"
"2017-07";"103.88";"A"
"2017-06";"104.23";"A"
"2017-05";"101.46";"A"
"2017-04";"101.07";"A"
"2017-03";"98.99";"A"
"2017-02";"100.1";"A"
"2017-01";"95.27";"A"
"2016-12";"101.94";"A"
"2016-11";"102.83";"A"
"2016-10";"101.68";"A"
"2016-09";"104.55";"A"
"2016-08";"101.67";"A"
"2016-07";"95.2";"A"
"2016-06";"94.06";"A"
"2016-05";"94.34";"A"
"2016-04";"96.33";"A"
"2016-03";"99.67";"A"
"2016-02";"98.81";"A"
"2016-01";"100.19";"A"
"2015-12";"104.99";"A"
"2015-11";"98.4";"A"
"2015-10";"94.31";"A"
"2015-09";"103.62";"A"
"2015-08";"99.36";"A"
"2015-07";"101.99";"A"
"2015-06";"99.92";"A"
"2015-05";"103.87";"A"
"2015-04";"100.59";"A"
