"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de pâtes alimentaires (NAF rév. 2, niveau classe, poste 10.73)";"Codes"
"idBank";"010767647";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"99.44";"A"
"2025-01";"105.09";"A"
"2024-12";"103.43";"A"
"2024-11";"99.07";"A"
"2024-10";"97.24";"A"
"2024-09";"95.88";"A"
"2024-08";"94.93";"A"
"2024-07";"98.38";"A"
"2024-06";"96.8";"A"
"2024-05";"91.3";"A"
"2024-04";"98.54";"A"
"2024-03";"99.53";"A"
"2024-02";"101.01";"A"
"2024-01";"93.21";"A"
"2023-12";"93.13";"A"
"2023-11";"92.98";"A"
"2023-10";"96.62";"A"
"2023-09";"102.58";"A"
"2023-08";"98.76";"A"
"2023-07";"97.47";"A"
"2023-06";"103.59";"A"
"2023-05";"106.48";"A"
"2023-04";"102.72";"A"
"2023-03";"99.73";"A"
"2023-02";"104.71";"A"
"2023-01";"99.14";"A"
"2022-12";"107.14";"A"
"2022-11";"105.59";"A"
"2022-10";"105.98";"A"
"2022-09";"107.55";"A"
"2022-08";"104.77";"A"
"2022-07";"104.17";"A"
"2022-06";"104.02";"A"
"2022-05";"105.72";"A"
"2022-04";"103.32";"A"
"2022-03";"104.66";"A"
"2022-02";"99.54";"A"
"2022-01";"97.71";"A"
"2021-12";"97.28";"A"
"2021-11";"100.56";"A"
"2021-10";"103.04";"A"
"2021-09";"96.99";"A"
"2021-08";"100.84";"A"
"2021-07";"101.24";"A"
"2021-06";"98.63";"A"
"2021-05";"94.5";"A"
"2021-04";"97.66";"A"
"2021-03";"99.62";"A"
"2021-02";"102.09";"A"
"2021-01";"107.54";"A"
"2020-12";"104.46";"A"
"2020-11";"112.82";"A"
"2020-10";"104.1";"A"
"2020-09";"103.97";"A"
"2020-08";"103.19";"A"
"2020-07";"92.15";"A"
"2020-06";"91.65";"A"
"2020-05";"122.26";"A"
"2020-04";"125.49";"A"
"2020-03";"114.46";"A"
"2020-02";"110.79";"A"
"2020-01";"105.85";"A"
"2019-12";"102.39";"A"
"2019-11";"103.05";"A"
"2019-10";"101.65";"A"
"2019-09";"100.66";"A"
"2019-08";"100.91";"A"
"2019-07";"105.81";"A"
"2019-06";"104.65";"A"
"2019-05";"104.89";"A"
"2019-04";"99.95";"A"
"2019-03";"102.7";"A"
"2019-02";"103.05";"A"
"2019-01";"100.28";"A"
"2018-12";"105.52";"A"
"2018-11";"100.62";"A"
"2018-10";"96.79";"A"
"2018-09";"104.36";"A"
"2018-08";"104.13";"A"
"2018-07";"101.98";"A"
"2018-06";"99.77";"A"
"2018-05";"110.57";"A"
"2018-04";"102.8";"A"
"2018-03";"97.03";"A"
"2018-02";"94.39";"A"
"2018-01";"98.63";"A"
"2017-12";"96.93";"A"
"2017-11";"96.92";"A"
"2017-10";"97.02";"A"
"2017-09";"100.28";"A"
"2017-08";"109.61";"A"
"2017-07";"112.63";"A"
"2017-06";"112.39";"A"
"2017-05";"116.0";"A"
"2017-04";"108.18";"A"
"2017-03";"102.39";"A"
"2017-02";"91.37";"A"
"2017-01";"86.48";"A"
"2016-12";"99.05";"A"
"2016-11";"110.35";"A"
"2016-10";"102.98";"A"
"2016-09";"99.44";"A"
"2016-08";"99.75";"A"
"2016-07";"98.03";"A"
"2016-06";"101.84";"A"
"2016-05";"102.66";"A"
"2016-04";"104.79";"A"
"2016-03";"100.55";"A"
"2016-02";"105.3";"A"
"2016-01";"104.09";"A"
"2015-12";"103.73";"A"
"2015-11";"102.65";"A"
"2015-10";"108.68";"A"
"2015-09";"103.55";"A"
"2015-08";"101.97";"A"
"2015-07";"102.95";"A"
"2015-06";"104.57";"A"
"2015-05";"101.91";"A"
"2015-04";"103.54";"A"
"2015-03";"108.41";"A"
"2015-02";"103.19";"A"
"2015-01";"107.09";"A"
"2014-12";"104.78";"A"
"2014-11";"107.97";"A"
"2014-10";"103.91";"A"
"2014-09";"108.88";"A"
"2014-08";"106.67";"A"
"2014-07";"105.18";"A"
"2014-06";"95.78";"A"
"2014-05";"102.22";"A"
"2014-04";"105.28";"A"
"2014-03";"110.06";"A"
"2014-02";"108.28";"A"
"2014-01";"104.88";"A"
"2013-12";"105.29";"A"
"2013-11";"112.63";"A"
"2013-10";"107.37";"A"
"2013-09";"93.9";"A"
"2013-08";"98.79";"A"
"2013-07";"101.15";"A"
"2013-06";"99.05";"A"
"2013-05";"104.49";"A"
"2013-04";"104.29";"A"
"2013-03";"100.08";"A"
"2013-02";"102.17";"A"
"2013-01";"99.76";"A"
"2012-12";"99.15";"A"
"2012-11";"100.67";"A"
"2012-10";"96.19";"A"
"2012-09";"99.93";"A"
"2012-08";"103.03";"A"
"2012-07";"102.74";"A"
"2012-06";"102.14";"A"
"2012-05";"94.21";"A"
"2012-04";"94.84";"A"
"2012-03";"98.92";"A"
