"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de plats préparés (NAF rév. 2, niveau classe, poste 10.85)";"Codes"
"idBank";"010767657";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"90.25";"A"
"2025-01";"93.42";"A"
"2024-12";"88.66";"A"
"2024-11";"89.1";"A"
"2024-10";"93.38";"A"
"2024-09";"92.62";"A"
"2024-08";"92.55";"A"
"2024-07";"94.49";"A"
"2024-06";"98.13";"A"
"2024-05";"91.95";"A"
"2024-04";"91.72";"A"
"2024-03";"89.9";"A"
"2024-02";"91.39";"A"
"2024-01";"89.24";"A"
"2023-12";"87.14";"A"
"2023-11";"87.13";"A"
"2023-10";"88.94";"A"
"2023-09";"88.67";"A"
"2023-08";"92.2";"A"
"2023-07";"96.7";"A"
"2023-06";"96.65";"A"
"2023-05";"99.71";"A"
"2023-04";"99.17";"A"
"2023-03";"95.48";"A"
"2023-02";"90.5";"A"
"2023-01";"91.88";"A"
"2022-12";"99.14";"A"
"2022-11";"99.65";"A"
"2022-10";"96.11";"A"
"2022-09";"95.8";"A"
"2022-08";"94.85";"A"
"2022-07";"93.64";"A"
"2022-06";"91.24";"A"
"2022-05";"97.34";"A"
"2022-04";"95.1";"A"
"2022-03";"100.83";"A"
"2022-02";"102.68";"A"
"2022-01";"101.89";"A"
"2021-12";"104.57";"A"
"2021-11";"101.91";"A"
"2021-10";"98.47";"A"
"2021-09";"97.58";"A"
"2021-08";"98.24";"A"
"2021-07";"98.62";"A"
"2021-06";"99.9";"A"
"2021-05";"94.85";"A"
"2021-04";"99.3";"A"
"2021-03";"99.53";"A"
"2021-02";"102.25";"A"
"2021-01";"104.79";"A"
"2020-12";"97.44";"A"
"2020-11";"96.29";"A"
"2020-10";"96.71";"A"
"2020-09";"99.65";"A"
"2020-08";"91.98";"A"
"2020-07";"92.71";"A"
"2020-06";"88.1";"A"
"2020-05";"91.19";"A"
"2020-04";"89.71";"A"
"2020-03";"100.18";"A"
"2020-02";"95.78";"A"
"2020-01";"90.06";"A"
"2019-12";"97.07";"A"
"2019-11";"101.92";"A"
"2019-10";"107.05";"A"
"2019-09";"100.44";"A"
"2019-08";"95.3";"A"
"2019-07";"100.37";"A"
"2019-06";"102.83";"A"
"2019-05";"96.64";"A"
"2019-04";"95.06";"A"
"2019-03";"96.95";"A"
"2019-02";"94.81";"A"
"2019-01";"98.2";"A"
"2018-12";"97.84";"A"
"2018-11";"94.53";"A"
"2018-10";"93.08";"A"
"2018-09";"94.29";"A"
"2018-08";"99.37";"A"
"2018-07";"96.27";"A"
"2018-06";"99.63";"A"
"2018-05";"97.93";"A"
"2018-04";"104.39";"A"
"2018-03";"102.94";"A"
"2018-02";"96.84";"A"
"2018-01";"98.65";"A"
"2017-12";"98.85";"A"
"2017-11";"101.06";"A"
"2017-10";"103.61";"A"
